Country Name,2012,2013,2014,2015,2016,2017
Luxembourg,56677961787,61739352212,66103853237,57744457955,60691483443,64181944723
Latvia,28330632929,30432796306,31329367173,27239653844,28052325862,30458763246
"Macao SAR, China",43031577366,51552075902,55347998648,45361678147,45387299721,50751059058
St. Martin (French part),,,,,,
Morocco,98266306615,1.07E+11,1.10E+11,1.01E+11,1.03E+11,1.10E+11
Monaco,5743029680,6555983530,7069616049,6261622101,6472990923,6431314957
Moldova,8709165249,9496684701,9510219299,7745231660,8071480541,9669759987
Madagascar,11578978053,12423557907,12522959157,11323023787,11848615018,13176313233
Maldives,2886170572,3295011382,3697351594,4109447297,4379115588,4754352301
Middle East & North Africa,3.58E+12,3.55E+12,3.57E+12,3.14E+12,3.16E+12,3.27E+12
Mexico,1.20E+12,1.27E+12,1.32E+12,1.17E+12,1.08E+12,1.16E+12
Marshall Islands,182874800,187707400,184689500,184599600,200558400,212881000
Middle income,2.55E+13,2.69E+13,2.80E+13,2.65E+13,2.67E+13,2.94E+13
North Macedonia,9745251126,10817712139,11362272838,10064515432,10672471861,11307058382
Mali,12441946098,13242680705,14364859446,13104802016,14025944550,15365627045
Malta,9462238257,10551661220,11626281450,11091434435,11665231192,13146963159
Myanmar,59937797559,60269734045,65446199788,67822772707,67184236747,68945867478
Middle East & North Africa (excluding high income),1.73E+12,1.62E+12,1.60E+12,1.44E+12,1.46E+12,1.44E+12
Montenegro,4087561650,4464502434,4587741791,4053097851,4373958354,4844606146
Mongolia,12292770631,12582122604,12226514722,11749620620,11186734674,11425755280
Northern Mariana Islands,751000000,782000000,845000000,931000000,1250000000,1601000000
Mozambique,16350804543,16974320551,17716084108,15950969019,11936999283,13219084261
Mauritania,6728208836,7223063170,6592537782,6166857629,6398744505,6758390729
Mauritius,11668685524,12129642296,12803445934,11692287066,12232463656,13259351418
Malawi,6028487929,5518880769,6047813437,6373212641,5433040160,6303292264
Malaysia,3.14E+11,3.23E+11,3.38E+11,3.01E+11,3.01E+11,3.19E+11
North America,1.80E+13,1.86E+13,1.93E+13,1.98E+13,2.03E+13,2.12E+13
Namibia,13041886316,12011207741,12356482989,11272143473,10665634688,12741746524
New Caledonia,,,,,,
Niger,9426913349,10224897935,10862944204,9685577941,10355006770,11189541083
Nigeria,4.56E+11,5.09E+11,5.47E+11,4.87E+11,4.05E+11,3.76E+11
Nicaragua,10532049077,10982938826,11880434071,12756706583,13286083645,13785909906
Netherlands,8.39E+11,8.77E+11,8.91E+11,7.65E+11,7.84E+11,8.34E+11
Norway,5.10E+11,5.23E+11,4.98E+11,3.86E+11,3.69E+11,3.98E+11
Nepal,18851513891,19271168018,20002968838,21410840909,21185922408,25180583770
Nauru,96927201.48,98491843.64,104654365.2,86779266.16,100087349,109585941.6
New Zealand,1.76E+11,1.91E+11,2.01E+11,1.77E+11,1.88E+11,2.05E+11
OECD members,4.84E+13,4.91E+13,5.01E+13,4.73E+13,4.82E+13,5.03E+13
Oman,76511059936,78555637365,80686854743,68399663322,65480507171,70598026283
Other small states,4.14E+11,4.32E+11,4.47E+11,3.71E+11,3.66E+11,3.99E+11
Pakistan,2.24E+11,2.31E+11,2.44E+11,2.71E+11,2.79E+11,3.05E+11
Panama,40429700000,45600000000,49921500000,54091700000,57907700000,62219000000
Peru,1.93E+11,2.01E+11,2.01E+11,1.90E+11,1.92E+11,2.11E+11
Philippines,2.62E+11,2.84E+11,2.97E+11,3.06E+11,3.19E+11,3.28E+11
Palau,212397800,221117200,241669800,280457700,295065400,286106800
Papua New Guinea,21295659249,21261432775,23210682537,21723531182,20759069105,22742613549
Poland,4.99E+11,5.21E+11,5.42E+11,4.78E+11,4.73E+11,5.27E+11
Pre-demographic dividend,1.30E+12,1.43E+12,1.51E+12,1.34E+12,1.22E+12,1.27E+12
Puerto Rico,1.02E+11,1.02E+11,1.02E+11,1.03E+11,1.04E+11,1.03E+11
"Korea, Dem. People’s Rep.",,,,,,
Portugal,2.16E+11,2.26E+11,2.30E+11,1.99E+11,2.06E+11,2.21E+11
Paraguay,33283228891,38585317743,40276532541,36164068797,36054281572,39008900332
West Bank and Gaza,12208400000,13515500000,13989700000,13972400000,15405400000,16128000000
Pacific island small states,8223336840,8544448804,9271534114,9049548346,9475857773,10212875641
Post-demographic dividend,4.56E+13,4.61E+13,4.70E+13,4.45E+13,4.55E+13,4.75E+13
French Polynesia,,,,,,
Qatar,1.87E+11,1.99E+11,2.06E+11,1.62E+11,1.52E+11,1.61E+11
Romania,1.71E+11,1.91E+11,2.00E+11,1.78E+11,1.88E+11,2.12E+11
Russian Federation,2.21E+12,2.29E+12,2.06E+12,1.36E+12,1.28E+12,1.57E+12
